Ref,Campus ID,Preferred ,Last,Suffix,Sex,Hispanic,Hispanic Origin,Race,Primary Ethnicity,Phone ,Street,City,State,Zip,Country,App Center,Standing,First Gen,Legacy,Faculty Child,Tuition Remission,Submitted Date,Admit Flag,Non Admit Flag,Cancel Flag,Complete Date,Admit Date,Deny Date,Cancel Date,Deposit Date,Entry Term App,Applied to College,Admitted to College,Admitted to Major,Current Bin Name,Admit Reason,Deny Reason,Cancel Reason,School,CEEB,School City,School State,MU Feeder,Test Optional,Raw GPA,Recalc GPA,GPA Scale,GPA Type,Rigor,Essay,ACT Equivalent,Blue and Gold,Category,Cristo Rey,Jesuit,Organization Flag,Type,Staff Assigned,Physical Therapy Status,Athletic Training Status,Sport,FACHEX,Tuition Exchange,Honors,EOP,Twin,Campus Visit,Undocumented,Merit Award,ONE Created Date,ONE Submitted Date
076468567,006259733,,,,M,No,,White,White,,,,OH,45174-1217,United States,UGRD,Freshman,No,,None,,10/12/2022,,,,10/14/2022,,,,,2023 August (Fall Semester),Engineering,Engineering,,Admit FRE,,,,Moeller High School,361033,Cincinnati,OH,,No,3.82,3.82,4,Unweighted,5,3,27,,High School,,,,Catholic,,,,,,,,,No,,,,,
116733222,006264319,,,,M,Yes,,,Hispanic,,,,IL,60164-1933,United States,UGRD,Freshman,Yes,,None,,10/30/2022,,,,,,,,,2023 August (Fall Semester),Nursing,Nursing,,To Be Entered TOPT FRE,,,,West Leyden High School,143223,Northlake,IL,,Yes,,,,,,,,,High School,,,,Public,,,,,,,,,No,,,,,
713229457,006257221,,,,F,Yes,Mexican,Black or African AmericanBlack or African American - US/African AmericanWhiteWhite - Europe,Hispanic,,,,WI,53212-2125,United States,UGRD,Freshman,Yes,,None,,9/11/2022,,,,11/1/2022,,,,,2023 August (Fall Semester),Nursing,Nursing,,Nursing,,,,Saint Francis High School,502037,Saint Francis,WI,,Yes,2.39,2.39,4,Unweighted,,,,,High School,,,,Public,,,,,,,,,No,,,,,
398996233,006260168,,,,M,,,,Not Provided,,,,FL,33486-3577,United States,UGRD,Freshman,No,,None,,10/14/2022,,,,10/17/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Admit FRE,,,,Boca Raton Community High School,100131,Boca Raton,FL,,No,4.15,3.38,4,Weighted,5,4,24,,High School,,,,Public,,,,,,,,,No,,,,,
157096312,006258354,,,,F,No,,White,White,,,,WI,53548-8575,United States,UGRD,Freshman,No,,None,,9/30/2022,,,,10/3/2022,,,,,2023 August (Fall Semester),Engineering,Engineering,,Maybe?,,,,Milton High School,501330,Milton,WI,,No,3.84,3.84,4,Unweighted,4,4,28,,High School,,,,Public,,,,,,,,,No,,,,,
544474659,006265232,,,,M,No,,White,White,,,,IL,60118-3030,United States,UGRD,Freshman,No,,None,,10/31/2022,,,,,,,,,2023 August (Fall Semester),Engineering,Engineering,,To Be Entered TOPT FRE,,,,Dundee-Crown High School,140536,Carpentersvle,IL,,Yes,,,,,,,,,High School,,,,Public,,,,,,,,,No,,,,,
329757643,006258350,,,,M,No,,White,White,,,,IL,60660-2492,United States,UGRD,Freshman,No,Sister,None,,9/30/2022,,,,10/18/2022,,,,,2023 August (Fall Semester),Communication,Communication,,Maybe?,,,,DePaul College Prep,140850,Chicago,IL,,Yes,2.57,2.57,4,Unweighted,3,3,,,High School,,,,Catholic,,,,,,,,,No,,,,,
460712680,006258477,,,,M,No,,White,White,,,,IL,60516-3300,United States,UGRD,Freshman,No,Sister,None,,10/2/2022,,,,10/19/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Admit FRE,,,,Benet Academy,142635,Lisle,IL,Y,No,93.99,3.7,100,Unweighted,3,2,29,Gold,High School,,,,Catholic,,,,,Eligible,Eligible,,,No,Yes,,,,
011456235,006264341,,,,F,Yes,,Asian,Hispanic,,,,IL,60707-3613,United States,UGRD,Freshman,Yes,,None,,10/30/2022,,,,10/31/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Arts & Sciences,,,,Fenwick High School,143240,Oak Park,IL,Y,No,4.61,4,4,Weighted,,,30,Gold,High School,,,,Catholic,,,,,,,,,No,,,,,
291854150,006259410,,,,M,Yes,Mexican,White,Hispanic,,,,WI,53220-1103,United States,UGRD,Freshman,No,,None,,10/10/2022,,,,10/12/2022,,,,,2023 August (Fall Semester),Engineering,Engineering,,Admit FRE,,,,Audubon Technology & Communication Center High School,501452,Milwaukee,WI,Y,Yes,4,4,4,Unweighted,3,3,,,High School,,,MPS,Public,,,,,,,,,No,Yes,,,,
